sample_id	caf_core	cxcl13_t_cells	hgf_met_axis	macrophage_lipid_candidate	mcam_caf	myc_glycolysis_core	plasticity_emt
TCGA-4N-A93T-01	-1.553568	-0.453085	-0.560094	-1.255095	-1.524570	-0.989426	-0.381759
TCGA-A6-2684-11	-0.997058	0.732163	-1.140558	0.367918	-1.175681	-0.278175	-0.076466
TCGA-F4-6459-01	0.933486	-0.011632	1.609591	0.627767	1.081512	0.133712	0.521243
TCGA-T9-A92H-01	-0.732674	-0.937939	0.064665	-0.929717	-0.706286	0.771530	-0.120791
TCGA-D5-5538-01	0.624698	0.549812	-0.061669	1.082843	0.450022	0.940080	0.409488
TCGA-CK-4948-01	0.856424	-0.013608	0.206729	0.052909	0.779419	0.435119	-0.052710
TCGA-AA-3506-01	0.241699	0.495154	-0.069117	0.378589	0.346165	0.539449	-0.141545
TCGA-CM-6166-01	-0.095701	-0.919140	0.218253	-0.997451	-0.043796	-0.278835	0.331813
TCGA-CK-5914-01	0.186997	0.134686	0.502279	-0.430429	-0.029891	0.270324	0.258234
TCGA-AY-6196-01	1.724981	1.744276	-0.096876	1.994568	1.798975	-0.786910	-0.561912
TCGA-F4-6809-01	0.563457	0.702682	0.379437	0.772213	0.681649	-0.597328	0.519525
TCGA-CM-6171-01	-0.144574	-0.323265	0.477982	-0.165456	-0.419475	-0.309049	0.214980
TCGA-CM-5863-01	0.668321	0.026364	0.179106	0.424187	0.748493	0.009043	0.353255
TCGA-D5-6539-01	-0.294987	-0.104974	0.213905	0.207058	-0.086162	0.266239	0.098991
TCGA-A6-5665-11	-0.521609	0.680718	-0.996091	0.078818	-0.477969	-0.522977	0.272730
TCGA-NH-A8F7-01	-1.172953	-2.063467	0.163464	-1.015488	-1.078077	-0.643266	-0.907825
TCGA-D5-5541-01	0.203609	0.432394	0.940398	0.769436	-0.142030	0.117528	0.605955
TCGA-F4-6808-01	-0.562296	-0.789857	-0.303328	-0.706955	-0.320944	0.043962	-0.435465
TCGA-A6-2680-11	-0.930327	0.846785	-1.289051	0.308416	-0.421268	-0.890023	0.201038
TCGA-AA-3511-11	-0.442029	1.083703	-1.069550	0.281632	-0.633481	-0.868077	-0.085623
TCGA-DM-A285-01	0.578399	-1.347508	-0.195454	-0.456369	0.693243	-0.313952	0.162842
TCGA-AA-3522-11	-0.565866	0.665005	-0.851129	0.280152	-0.770555	-0.556458	0.064177
TCGA-G4-6314-01	1.257686	-0.078374	0.503215	0.151879	1.591348	0.613431	0.733747
TCGA-A6-6781-01	1.810509	0.904150	-0.288517	1.156111	1.944316	0.354907	-0.241978
TCGA-F4-6807-01	1.010872	1.027050	0.990744	1.108108	1.028969	-0.246830	0.594764
TCGA-AY-A54L-01	-1.831652	-1.079523	-0.257616	-1.169158	-1.883789	0.464134	0.018912
TCGA-A6-5661-01	-0.173287	-0.191391	-0.252494	-0.315894	-0.385238	0.991413	0.107593
TCGA-DM-A288-01	-0.818191	-2.602787	-0.366471	-1.060436	-0.803683	0.455515	-0.537907
TCGA-QG-A5YX-01	-1.385062	-0.624806	-0.406747	-0.891663	-1.332888	0.152193	-0.191802
TCGA-A6-2679-11	-0.377261	1.916574	-0.938490	0.697725	-0.218009	-0.515409	-0.034461
TCGA-AD-A5EJ-01	0.089892	-0.632487	-0.567814	-0.757221	0.158319	1.342696	0.046563
TCGA-G4-6628-01	-0.207487	1.416225	0.452206	0.695186	-0.108042	-0.050824	-1.299908
TCGA-D5-6531-01	0.266857	0.416817	0.217014	0.697249	-0.142724	1.163632	0.041620
TCGA-DM-A28M-01	-1.176359	-1.085645	0.065456	-1.001857	-0.680561	0.358430	-0.529505
TCGA-CK-6751-01	0.645191	0.045383	0.037879	-0.103852	0.725848	0.555918	0.204035
TCGA-F4-6854-01	0.315295	0.171275	1.010674	0.098512	0.502064	-0.044733	-0.144230
TCGA-A6-2683-11	-0.551467	0.634315	-0.734837	0.127265	-0.850426	-0.410769	0.291793
TCGA-A6-6142-01	1.248289	-0.485421	0.223525	0.489112	1.291614	-0.345186	0.899327
